날짜,측정소명,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
2010-12-30,중구,39,,0.013,0.02,0.7,0.007
2010-12-30,용산구,43,,0.011,0.033,0.7,0.006
2010-12-30,성동구,38,,0.018,0.024,0.5,0.006
2010-12-30,광진구,37,,0.014,0.028,0.6,0.006
2010-12-30,동대문구,38,,0.011,0.027,0.9,0.008
2010-12-30,중랑구,41,,0.012,0.023,0.5,0.008
2010-12-30,성북구,32,,0.015,0.026,0.6,0.004
2010-12-30,강북구,32,,0.013,0.03,0.5,0.006
2010-12-30,도봉구,34,,0.02,0.019,0.6,0.006
2010-12-30,노원구,28,,0.016,0.029,0.5,0.007
2010-12-30,은평구,41,,0.015,0.028,0.6,0.008
2010-12-30,서대문구,37,,0.014,0.038,0.6,0.006
2010-12-30,마포구,45,,0.007,0.036,0.6,0.006
2010-12-30,양천구,40,,0.01,0.032,0.6,0.006
2010-12-30,강서구,40,,0.01,0.035,0.5,0.01
2010-12-30,구로구,37,,0.015,0.032,0.6,0.006
2010-12-30,금천구,34,,0.012,0.031,0.5,0.008
2010-12-30,영등포구,41,,0.009,0.036,0.7,0.007
2010-12-30,동작구,42,,0.012,0.04,0.5,0.007
2010-12-30,관악구,46,,0.01,0.032,0.6,0.006
2010-12-30,서초구,41,,0.009,0.031,0.5,0.006
2010-12-30,강남구,41,,0.007,0.04,0.4,0.007
2010-12-30,송파구,35,,0.015,0.027,0.5,0.007
2010-12-30,강동구,34,,0.013,0.025,0.6,0.007
2010-12-29,중구,34,,0.013,0.022,0.7,0.007
2010-12-29,용산구,38,,0.01,0.039,0.7,0.005
2010-12-29,성동구,40,,0.015,0.03,0.5,0.006
2010-12-29,광진구,39,,0.011,0.036,0.8,0.006
2010-12-29,동대문구,38,,0.004,0.033,0.8,0.007
2010-12-29,중랑구,39,,0.01,0.03,0.6,0.008
2010-12-29,성북구,33,,0.011,0.035,0.7,0.004
2010-12-29,강북구,29,,0.012,0.035,0.6,0.006
2010-12-29,도봉구,36,,0.016,0.027,0.6,0.006
2010-12-29,노원구,28,,0.011,0.039,0.6,0.007
2010-12-29,은평구,36,,0.013,0.032,0.5,0.007
2010-12-29,서대문구,34,,0.013,0.042,0.5,0.006
2010-12-29,마포구,41,,0.007,0.039,0.6,0.006
2010-12-29,양천구,37,,0.009,0.037,0.6,0.005
2010-12-29,강서구,40,,0.009,0.042,0.6,0.009
2010-12-29,구로구,39,,0.014,0.036,0.6,0.006
2010-12-29,금천구,32,,0.01,0.04,0.6,0.009
2010-12-29,영등포구,40,,0.008,0.042,0.7,0.007
2010-12-29,동작구,36,,0.009,0.046,0.5,0.006
2010-12-29,관악구,43,,0.01,0.036,0.7,0.006
2010-12-29,서초구,40,,0.007,0.04,0.5,0.005
2010-12-29,강남구,39,,0.007,0.045,0.5,0.007
2010-12-29,송파구,38,,0.011,0.035,0.6,0.006
2010-12-29,강동구,36,,0.009,0.033,0.7,0.007
2010-12-28,중구,57,,0.007,0.026,1,0.006
2010-12-28,용산구,61,,0.006,0.041,0.9,0.005
2010-12-28,성동구,61,,0.01,0.035,0.8,0.005
2010-12-28,광진구,59,,0.008,0.034,0.9,0.005
2010-12-28,동대문구,61,,0.003,0.037,1.1,0.007
2010-12-28,중랑구,61,,0.007,0.03,0.7,0.008
2010-12-28,성북구,52,,0.009,0.038,1,0.004
2010-12-28,강북구,52,,0.008,0.039,0.8,0.006
2010-12-28,도봉구,56,,0.014,0.029,0.9,0.006
2010-12-28,노원구,51,,0.011,0.039,0.8,0.006
2010-12-28,은평구,55,,0.008,0.038,0.7,0.007
2010-12-28,서대문구,52,,0.008,0.047,0.6,0.004
2010-12-28,마포구,65,,0.005,0.042,0.9,0.005
2010-12-28,양천구,62,,0.005,0.04,0.8,0.006
2010-12-28,강서구,58,,0.006,0.046,0.7,0.009
2010-12-28,구로구,58,,0.009,0.043,0.9,0.006
2010-12-28,금천구,54,,0.006,0.047,0.8,0.01
2010-12-28,영등포구,61,,0.005,0.045,0.9,0.006
2010-12-28,동작구,67,,0.006,0.052,0.8,0.006
2010-12-28,관악구,63,,0.007,0.041,0.9,0.006
2010-12-28,서초구,62,,0.005,0.038,0.7,0.005
2010-12-28,강남구,65,,0.004,0.049,0.7,0.007
2010-12-28,송파구,53,,0.008,0.037,0.9,0.006
2010-12-28,강동구,50,,0.006,0.032,0.9,0.007
2010-12-27,중구,58,,0.007,0.034,1.3,0.006
2010-12-27,용산구,56,,0.006,0.045,1,0.004
2010-12-27,성동구,54,,0.01,0.039,0.8,0.005
2010-12-27,광진구,54,,0.007,0.039,0.9,0.006
2010-12-27,동대문구,60,,0.002,0.049,1.2,0.006
2010-12-27,중랑구,58,,0.005,0.035,0.9,0.007
2010-12-27,성북구,49,,0.005,0.047,1.3,0.005
2010-12-27,강북구,44,,0.005,0.045,0.9,0.005
2010-12-27,도봉구,54,,0.007,0.041,1,0.005
2010-12-27,노원구,40,,0.004,0.048,0.9,0.005
2010-12-27,은평구,50,,0.008,0.042,0.7,0.006
2010-12-27,서대문구,44,,0.008,0.055,0.8,0.004
2010-12-27,마포구,62,,0.004,0.052,1.1,0.005
2010-12-27,양천구,55,,0.004,0.048,1,0.005
2010-12-27,강서구,57,,0.006,0.057,1,0.008
2010-12-27,구로구,57,,0.008,0.052,1.1,0.005
2010-12-27,금천구,48,,0.005,0.056,1,0.007
2010-12-27,영등포구,56,,0.006,0.053,1.1,0.005
2010-12-27,동작구,56,,0.004,0.062,0.9,0.005
2010-12-27,관악구,62,,0.005,0.051,1.2,0.005
2010-12-27,서초구,54,,0.005,0.045,0.8,0.005
2010-12-27,강남구,55,,0.005,0.05,0.7,0.006
2010-12-27,송파구,56,,0.007,0.04,1,0.006
2010-12-27,강동구,50,,0.003,0.036,0.9,0.006
2010-12-26,중구,49,,0.019,0.013,0.5,0.006
2010-12-26,용산구,54,,0.017,0.023,0.6,0.004
2010-12-26,성동구,50,,0.022,0.018,0.4,0.005
2010-12-26,광진구,47,,0.018,0.022,0.6,0.005
2010-12-26,동대문구,50,,0.005,0.021,0.5,0.006
2010-12-26,중랑구,49,,0.016,0.019,0.4,0.007
2010-12-26,성북구,40,,0.016,0.024,0.6,0.004
2010-12-26,강북구,32,,0.02,0.021,0.4,0.004
2010-12-26,도봉구,45,,0.026,0.012,0.5,0.005
2010-12-26,노원구,29,,0.021,0.02,0.4,0.005
2010-12-26,은평구,54,,0.021,0.019,0.3,0.006
2010-12-26,서대문구,42,,0.02,0.027,0.5,0.005
2010-12-26,마포구,54,,0.013,0.023,0.5,0.005
2010-12-26,양천구,40,,0.015,0.024,0.4,0.005
2010-12-26,강서구,54,,0.017,0.021,0.4,0.007
2010-12-26,구로구,54,,0.02,0.026,0.5,0.006
2010-12-26,금천구,37,,0.014,0.029,0.4,0.007
2010-12-26,영등포구,53,,0.016,0.028,0.6,0.006
2010-12-26,관악구,57,,0.013,0.028,0.5,0.005
2010-12-26,서초구,54,,0.014,0.022,0.4,0.005
2010-12-26,강남구,55,,0.011,0.032,0.4,0.006
2010-12-26,송파구,46,,0.02,0.019,0.5,0.006
2010-12-26,강동구,45,,0.017,0.02,0.5,0.006
2010-12-25,중구,35,,0.022,0.009,0.4,0.005
2010-12-25,용산구,38,,0.021,0.017,0.6,0.004
2010-12-25,성동구,38,,0.026,0.011,0.3,0.004
2010-12-25,광진구,36,,0.024,0.013,0.5,0.005
2010-12-25,중랑구,36,,0.02,0.013,0.4,0.007
2010-12-25,성북구,30,,0.023,0.012,0.5,0.004
2010-12-25,강북구,24,,0.024,0.014,0.3,0.005
2010-12-25,도봉구,34,,0.031,0.005,0.4,0.005
