날짜,지역,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
2011-12-29,종로구,105,,0.007,0.039,1,0.015
2011-12-29,중구,101,,0.01,0.04,0.8,0.011
2011-12-29,용산구,105,,0.004,0.049,1,0.008
2011-12-29,성동구,107,,0.004,0.033,1.1,0.012
2011-12-29,광진구,115,,0.006,0.04,1.1,0.011
2011-12-29,동대문구,114,,0.005,0.046,1.1,0.012
2011-12-29,중랑구,118,,0.004,0.048,1.1,0.01
2011-12-29,성북구,104,,0.009,0.039,1.2,0.009
2011-12-29,강북구,76,,0.009,0.044,1,0.013
2011-12-29,도봉구,112,,0.009,0.037,1.2,0.011
2011-12-29,노원구,117,,0.008,0.038,1,0.012
2011-12-29,은평구,101,,0.007,0.037,1.3,0.01
2011-12-29,서대문구,97,,0.007,0.043,1,0.012
2011-12-29,마포구,106,,0.005,0.048,1.1,0.01
2011-12-29,양천구,91,,0.008,0.046,0.9,0.012
2011-12-29,강서구,93,,0.006,0.046,1.1,0.01
2011-12-29,구로구,92,,0.008,0.045,1,0.01
2011-12-29,금천구,88,,0.007,0.048,0.9,0.011
2011-12-29,영등포구,94,,0.003,0.035,1.3,0.01
2011-12-29,동작구,79,,0.008,0.038,0.9,0.011
2011-12-29,관악구,90,,0.006,0.042,0.9,0.011
2011-12-29,서초구,104,,0.006,0.04,1,0.008
2011-12-29,강남구,96,,0.003,0.052,1,0.011
2011-12-29,송파구,103,,0.005,0.041,1.1,0.01
2011-12-29,강동구,107,,0.005,0.044,1.1,0.013
2011-12-28,종로구,78,,0.002,0.062,1.3,0.011
2011-12-28,중구,81,,0.011,0.064,1.5,0.008
2011-12-28,용산구,75,,0.001,0.068,1.2,0.006
2011-12-28,성동구,70,,0.001,0.052,1.2,0.008
2011-12-28,광진구,75,,0.003,0.051,1.2,0.008
2011-12-28,동대문구,83,,0.001,0.07,1.4,0.007
2011-12-28,중랑구,72,,0.002,0.063,1.2,0.007
2011-12-28,성북구,71,,0.002,0.066,1.6,0.007
2011-12-28,강북구,47,,0.003,0.065,1.2,0.007
2011-12-28,도봉구,70,,0.002,0.06,1.4,0.008
2011-12-28,노원구,82,,0.002,0.059,1.2,0.008
2011-12-28,은평구,67,,0.003,0.054,1.3,0.008
2011-12-28,서대문구,68,,0.001,0.073,1.2,0.008
2011-12-28,마포구,78,,0.002,0.085,1.4,0.007
2011-12-28,양천구,79,,0.003,0.071,1.2,0.012
2011-12-28,강서구,80,,0.002,0.079,1.3,0.01
2011-12-28,구로구,71,,0.003,0.072,1.2,0.009
2011-12-28,금천구,74,,0.003,0.072,1,0.011
2011-12-28,영등포구,71,,0,0.035,1.4,0.01
2011-12-28,동작구,69,,0.003,0.062,1.2,0.009
2011-12-28,관악구,70,,0.002,0.068,1.2,0.009
2011-12-28,서초구,74,,0.002,0.057,1.3,0.006
2011-12-28,강남구,69,,0.001,0.073,1.2,0.007
2011-12-28,송파구,79,,0.002,0.062,1.6,0.009
2011-12-28,강동구,69,,0.002,0.06,1.1,0.008
2011-12-27,종로구,54,,0.005,0.043,0.8,0.007
2011-12-27,중구,56,,0.009,0.044,1.1,0.006
2011-12-27,용산구,56,,0.004,0.05,0.7,0.004
2011-12-27,성동구,57,,0.002,0.044,1,0.007
2011-12-27,광진구,59,,0.007,0.04,0.9,0.006
2011-12-27,동대문구,61,,0.003,0.056,1,0.006
2011-12-27,중랑구,55,,0.008,0.048,1,0.006
2011-12-27,성북구,50,,0.004,0.054,1.2,0.008
2011-12-27,강북구,33,,0.005,0.055,0.9,0.007
2011-12-27,도봉구,53,,0.004,0.042,0.9,0.007
2011-12-27,노원구,57,,0.004,0.048,1,0.007
2011-12-27,은평구,53,,0.006,0.04,0.8,0.006
2011-12-27,서대문구,50,,0.004,0.05,0.9,0.007
2011-12-27,마포구,59,,0.003,0.055,0.9,0.005
2011-12-27,양천구,56,,0.005,0.055,0.8,0.009
2011-12-27,강서구,60,,0.004,0.057,0.9,0.008
2011-12-27,구로구,59,,0.004,0.056,0.9,0.009
2011-12-27,금천구,56,,0.005,0.062,0.9,0.008
2011-12-27,영등포구,56,,0.003,0.027,1.3,0.008
2011-12-27,동작구,47,,0.005,0.048,0.9,0.006
2011-12-27,관악구,58,,0.004,0.056,0.9,0.007
