날짜,측정소명,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
12/29/2012,종로구,55,,0.002,0.053,0.9,0.007
12/29/2012,중구,51,,0.002,0.057,1.5,0.006
12/29/2012,용산구,56,,0.001,0.067,1.5,0.005
12/29/2012,성동구,69,,0,0.054,1.7,0.005
12/29/2012,광진구,59,,0.002,0.057,1.3,0.005
12/29/2012,동대문구,59,,0.001,0.051,1.6,0.004
12/29/2012,중랑구,79,,0.002,0.059,1.6,0.008
12/29/2012,성북구,47,,0.002,0.061,1.5,0.006
12/29/2012,강북구,45,,0.001,0.054,1,0.005
12/29/2012,도봉구,50,,0.002,0.058,1.3,0.007
12/29/2012,노원구,66,,0.001,0.063,1.3,0.008
12/29/2012,은평구,48,,0.001,0.049,1,0.005
12/29/2012,서대문구,51,,0.004,0.054,0.7,0.004
12/29/2012,마포구,64,,0.002,0.062,1.4,0.005
12/29/2012,양천구,66,,0.003,0.06,1.2,0.007
12/29/2012,강서구,65,,0.002,0.061,1,0.007
12/29/2012,구로구,70,,0.002,0.058,1.4,0.006
12/29/2012,금천구,76,,0.002,0.069,1.7,0.011
12/29/2012,영등포구,70,,0.001,0.064,1.3,0.005
12/29/2012,동작구,73,,0.001,0.061,1.3,0.01
12/29/2012,관악구,69,,0.004,0.065,1.5,0.007
12/29/2012,서초구,64,,0.004,0.059,1.3,0.006
12/29/2012,강남구,64,,0.001,0.089,1,0.007
12/29/2012,송파구,57,,0.002,0.06,1.4,0.007
12/29/2012,강동구,59,,0.001,0.051,1.3,0.005
12/28/2012,종로구,47,,0.005,0.045,0.6,0.007
12/28/2012,중구,43,,0.005,0.046,1.1,0.007
12/28/2012,용산구,41,,0.003,0.053,1.1,0.007
12/28/2012,성동구,52,,0.001,0.043,1,0.004
12/28/2012,광진구,48,,0.008,0.038,0.7,0.006
12/28/2012,동대문구,52,,0.003,0.043,1.2,0.006
12/28/2012,중랑구,58,,0.005,0.04,0.7,0.006
12/28/2012,성북구,45,,0.005,0.049,1,0.008
12/28/2012,강북구,41,,0.005,0.043,0.7,0.006
12/28/2012,도봉구,52,,0.007,0.044,0.8,0.005
12/28/2012,노원구,53,,0.005,0.047,0.7,0.009
12/28/2012,은평구,48,,0.004,0.044,0.7,0.007
12/28/2012,서대문구,44,,0.006,0.042,0.6,0.006
12/28/2012,마포구,48,,0.005,0.049,0.9,0.006
12/28/2012,양천구,49,,0.005,0.046,0.7,0.006
12/28/2012,강서구,48,,0.005,0.046,0.6,0.006
12/28/2012,구로구,50,,0.003,0.047,0.9,0.006
12/28/2012,금천구,51,,0.003,0.054,1.1,0.008
